,name,institute,provider,date,review,rating
1,Elements of AI,University of Helsinki,Independent,Self Paced,573 Reviews,4.8
2,Machine Learning,Stanford University,Coursera,"17th Aug, 2020",369 Reviews,4.8
3,Machine Learning for Musicians and Artists,"Goldsmiths, University of London",Kadenze,Self Paced,84 Reviews,4.8
4,Machine Learning Foundations: A Case Study Approach,University of Washington,Coursera,"17th Aug, 2020",39 Reviews,3.9
6,Transport Systems: Global Issues and Future Innovations,University of Leeds,FutureLearn,Self Paced,43 Reviews,4.8
7,CS188.1x: Artificial Intelligence,"University of California, Berkeley",edX,Self Paced,32 Reviews,4.7
8,Practical Machine Learning,Johns Hopkins University,Coursera,"17th Aug, 2020",26 Reviews,3.4
9,Introduction to Artificial Intelligence,Stanford University,Udacity,Self Paced,25 Reviews,4.0
10,Machine Learning: Regression,University of Washington,Coursera,"17th Aug, 2020",20 Reviews,4.6
11,Sample-based Learning Methods,University of Alberta,Coursera,"17th Aug, 2020",17 Reviews,4.6
13,Neural Networks and Deep Learning,deeplearning.ai,Coursera,"24th Aug, 2020",15 Reviews,4.8
14,Introduction to Machine Learning Course,Stanford University,Udacity,Self Paced,19 Reviews,3.9
15,Machine Learning With Big Data,"University of California, San Diego",Coursera,"24th Aug, 2020",14 Reviews,1.9
16,Probabilistic Graphical Models 1: Representation,Stanford University,Coursera,"7th Sep, 2020",18 Reviews,4.1
17,A Complete Reinforcement Learning System (Capstone),University of Alberta,Coursera,"24th Aug, 2020",13 Reviews,4.5
18,Machine Learning for Trading,Georgia Institute of Technology,Udacity,Self Paced,15 Reviews,3.1
19,Machine Learning for Data Science and Analytics,Columbia University,edX,Self Paced,15 Reviews,3.1
20,Machine Learning: Classification,University of Washington,Coursera,"17th Aug, 2020",8 Reviews,4.8
21,Learning from Data (Introductory Machine Learning course),California Institute of Technology,Independent,Self Paced,10 Reviews,4.6
22,Artificial Intelligence (AI),Columbia University,edX,"21st Sep, 2020",11 Reviews,4.1
23,Machine Learning,Columbia University,edX,"21st Sep, 2020",11 Reviews,4.0
25,Reinforcement Learning,Brown University,Udacity,Self Paced,8 Reviews,2.9
26,"Practical Deep Learning For Coders, Part 1",fast.ai,Independent,Self Paced,8 Reviews,3.8
27,Machine Learning for Data Analysis,Wesleyan University,Coursera,"17th Aug, 2020",4 Reviews,3.5
28,Machine Learning: Clustering & Retrieval,University of Washington,Coursera,"17th Aug, 2020",4 Reviews,4.8
29,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,Coursera,"17th Aug, 2020",3 Reviews,3.0
31,Nearest Neighbor Collaborative Filtering,University of Minnesota,Coursera,"17th Aug, 2020",2 Reviews,2.0
33,Practical Reinforcement Learning,Higher School of Economics,Coursera,"17th Aug, 2020",2 Reviews,4.5
35,Sequence Models for Time Series and Natural Language Processing,Google Cloud,Coursera,"17th Aug, 2020",1 Reviews,1.0
41,Computer Vision Basics,University at Buffalo,Coursera,"17th Aug, 2020",1 Reviews,5.0
49,AI For Everyone,deeplearning.ai,Coursera,"17th Aug, 2020",5 Reviews,4.4
51,Digital Skills: Artificial Intelligence,Accenture,FutureLearn,"17th Aug, 2020",1 Reviews,3.0
78,Custom Prediction Routine on Google AI Platform,Coursera Project Network,Coursera,"17th Aug, 2020",1 Reviews,5.0
79,Innovations in Investment Technology: Artificial Intelligence,University of Michigan,FutureLearn,"17th Aug, 2020",1 Reviews,4.0
83,Regression Modeling in Practice,Wesleyan University,Coursera,"21st Aug, 2020",3 Reviews,4.0
84,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,National Taiwan University,Coursera,"23rd Aug, 2020",2 Reviews,5.0
