,name,institute,provider,date,review,rating
1,Elements of AI,University of Helsinki,Independent,Self Paced,573 Reviews,4.8
2,Machine Learning,Stanford University,Coursera,"17th Aug, 2020",369 Reviews,4.8
3,Unlocking Information Security: Part Ⅰ,Tel Aviv University,edX,Self Paced,142 Reviews,4.8
4,Introduction to Computer Science and Programming Using Python,Massachusetts Institute of Technology,edX,"26th Aug, 2020",126 Reviews,4.5
6,CS50's Introduction to Computer Science,Harvard University,edX,Self Paced,95 Reviews,4.5
7,Machine Learning for Musicians and Artists,"Goldsmiths, University of London",Kadenze,Self Paced,84 Reviews,4.8
8,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,Coursera,"24th Aug, 2020",67 Reviews,4.7
9,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,Coursera,"24th Aug, 2020",66 Reviews,4.6
10,Cyber Security,UGC,Swayam,"1st Jul, 2020",92 Reviews,4.7
11,"Algorithms, Part I",Princeton University,Coursera,"31st Aug, 2020",60 Reviews,4.5
13,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",56 Reviews,4.8
14,Cryptography I,Stanford University,Coursera,"31st Aug, 2020",53 Reviews,4.7
15,"Internet History, Technology, and Security",University of Michigan,Coursera,"31st Aug, 2020",41 Reviews,4.7
16,Functional Program Design in Scala,École Polytechnique Fédérale de Lausanne,Coursera,"24th Aug, 2020",40 Reviews,4.5
17,Machine Learning Foundations: A Case Study Approach,University of Washington,Coursera,"17th Aug, 2020",39 Reviews,3.9
18,Transport Systems: Global Issues and Future Innovations,University of Leeds,FutureLearn,Self Paced,43 Reviews,4.8
19,Introduction to Linux,Linux Foundation,edX,Self Paced,37 Reviews,4.1
20,Computational Social Science Methods,"University of California, Davis",Coursera,"24th Aug, 2020",32 Reviews,4.8
21,Principles of Computing (Part 1),Rice University,Coursera,"17th Aug, 2020",31 Reviews,4.6
22,CS188.1x: Artificial Intelligence,"University of California, Berkeley",edX,Self Paced,32 Reviews,4.7
23,Fundamentos TIC para profesionales de negocios: Hardware,Universitat Politècnica de València,edX,Self Paced,32 Reviews,4.6
25,Software Security,"University of Maryland, College Park",Coursera,"17th Aug, 2020",27 Reviews,4.2
26,Practical Machine Learning,Johns Hopkins University,Coursera,"17th Aug, 2020",26 Reviews,3.4
27,Unlocking Information Security: Part ⅠⅠ,Tel Aviv University,edX,Self Paced,30 Reviews,4.7
28,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,Coursera,"24th Aug, 2020",25 Reviews,4.9
29,Fundamentals of Reinforcement Learning,University of Alberta,Coursera,"24th Aug, 2020",24 Reviews,4.9
30,Algorithmic Toolbox,"University of California, San Diego",Coursera,"17th Aug, 2020",23 Reviews,3.6
31,INTRODUCTION TO CYBER SECURITY,IGNOU,Swayam,"1st Jun, 2020",48 Reviews,4.5
32,"Cloud Computing Concepts, Part 1",University of Illinois at Urbana-Champaign,Coursera,"24th Aug, 2020",21 Reviews,2.6
33,"Algorithms, Part II",Princeton University,Coursera,"24th Aug, 2020",21 Reviews,4.8
34,Bitcoin and Cryptocurrency Technologies,Princeton University,Coursera,"31st Aug, 2020",21 Reviews,4.4
35,Introduction to Artificial Intelligence,Stanford University,Udacity,Self Paced,25 Reviews,4.0
37,Machine Learning: Regression,University of Washington,Coursera,"17th Aug, 2020",20 Reviews,4.6
38,Julia Scientific Programming,University of Cape Town,Coursera,"24th Aug, 2020",20 Reviews,4.3
39,Cybersecurity Fundamentals,Rochester Institute of Technology,edX,"18th Aug, 2020",19 Reviews,4.8
