,name,institute,provider,date,review,rating
1,Data Analyst,Kaggle,Udacity,Self Paced,64 Reviews,4.5
2,Getting and Cleaning Data,Johns Hopkins University,Coursera,"17th Aug, 2020",56 Reviews,3.5
3,Exploratory Data Analysis,Johns Hopkins University,Coursera,"17th Aug, 2020",38 Reviews,3.9
4,Mastering Data Analysis in Excel,Duke University,Coursera,"17th Aug, 2020",26 Reviews,1.8
6,Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,Coursera,"17th Aug, 2020",24 Reviews,4.2
7,Data Analysis with R,Facebook,Udacity,Self Paced,18 Reviews,4.6
8,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",Coursera,"24th Aug, 2020",10 Reviews,3.5
9,Data Analysis: Take It to the MAX(),Delft University of Technology,edX,Self Paced,13 Reviews,3.4
10,Data Analysis for Social Scientists,Massachusetts Institute of Technology,edX,"8th Sep, 2020",12 Reviews,3.0
11,Data Analysis Tools,Wesleyan University,Coursera,"17th Aug, 2020",4 Reviews,3.0
13,Machine Learning for Data Analysis,Wesleyan University,Coursera,"17th Aug, 2020",4 Reviews,3.5
14,Managing Data Analysis,Johns Hopkins University,Coursera,"17th Aug, 2020",7 Reviews,2.0
15,Econometrics: Methods and Applications,Erasmus University Rotterdam,Coursera,"17th Aug, 2020",6 Reviews,4.0
17,Practical Time Series Analysis,State University of New York,Coursera,"17th Aug, 2020",2 Reviews,4.5
22,Social Media Data Analytics,Rutgers University,Coursera,"17th Aug, 2020",2 Reviews,3.5
23,SP21: Computing for Data Analysis,Georgia Institute of Technology,edX,"17th Aug, 2020",6 Reviews,2.5
37,Discrete Math and Analyzing Social Graphs,Higher School of Economics,Coursera,"17th Aug, 2020",1 Reviews,2.0
40,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,Coursera,"17th Aug, 2020",1 Reviews,5.0
45,Mathematical Biostatistics Boot Camp 2,Johns Hopkins University,Coursera,"24th Aug, 2020",4 Reviews,4.0
46,People Analytics,University of Pennsylvania,Coursera,"24th Aug, 2020",5 Reviews,4.2
47,Framework for Data Collection and Analysis,"University of Maryland, College Park",Coursera,"24th Aug, 2020",2 Reviews,3.5
51,Introduction to Data Analysis Using Excel,Rice University,Coursera,"24th Aug, 2020",2 Reviews,2.5
52,Data Analytics Foundations for Accountancy I,University of Illinois at Urbana-Champaign,Coursera,"24th Aug, 2020",2 Reviews,1.0
54,Basic Data Processing and Visualization,"University of California, San Diego",Coursera,"24th Aug, 2020",1 Reviews,3.0
55,Data Analysis with Python,IBM,Coursera,"24th Aug, 2020",1 Reviews,4.0
74,Social Network Analysis,"University of California, Davis",Coursera,"24th Aug, 2020",4 Reviews,5.0
93,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,Coursera,"31st Aug, 2020",4 Reviews,5.0
106,Business and Data Analysis Skills,Fullbridge,edX,"1st Sep, 2020",1 Reviews,4.0
107,Analyzing Data with Python,IBM,edX,"1st Sep, 2020",3 Reviews,3.7
115,"Silicon Photonics Design, Fabrication and Data Analysis",The University of British Columbia,edX,"8th Sep, 2020",1 Reviews,5.0
120,"Data, Analytics, and Learning",University of Texas Arlington,edX,Self Paced,2 Reviews,1.5
121,Case study: DNA methylation data analysis,Harvard University,edX,Self Paced,2 Reviews,4.5
122,Intro to Data Analysis,-1,Udacity,Self Paced,5 Reviews,4.0
123,Data Analytics in Health – From Basics to Business,KU Leuven University,edX,Self Paced,1 Reviews,5.0
125,Foundations of Data Analysis - Part 2: Inferential Statistics,The University of Texas at Austin,edX,Self Paced,2 Reviews,3.5
126,Foundations of Data Analysis - Part 1: Statistics Using R,The University of Texas at Austin,edX,Self Paced,7 Reviews,4.0
127,Understanding Data,-1,MRUniversity,Self Paced,1 Reviews,3.0
128,SQL for Data Analysis,-1,Udacity,Self Paced,2 Reviews,5.0
134,Data Analysis: Visualization and Dashboard Design,Delft University of Technology,edX,Self Paced,1 Reviews,3.0
139,Essential Statistics for Data Analysis using Excel,Microsoft,edX,Self Paced,3 Reviews,3.7
145,Data Analysis: A Practical Introduction for Absolute Beginners,Microsoft,edX,Self Paced,1 Reviews,4.0
146,Applied Data Analysis: Working in Organizations and Industries,Microsoft,edX,Self Paced,1 Reviews,3.0
155,High-Dimensional Data Analysis,Harvard University,edX,Self Paced,3 Reviews,3.7
158,Introduction to Data Analysis using Excel,Microsoft,edX,Self Paced,7 Reviews,3.9
159,Data for Effective Policy Making,Inter-American Development Bank,edX,Self Paced,1 Reviews,5.0
166,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,Harvard University,edX,Self Paced,3 Reviews,5.0
184,Data Analysis and Interpretation,Wesleyan University,Coursera,Self Paced,1 Reviews,5.0
185,Excel to MySQL: Analytic Techniques for Business,Duke University,Coursera,Self Paced,2 Reviews,3.0
206,Stochastic Processes: Data Analysis and Computer Simulation,Kyoto University,edX,"17th Sep, 2020",1 Reviews,5.0
209,Successfully Evaluating Predictive Modelling,University of Edinburgh,edX,"10th Nov, 2020",1 Reviews,2.0
218,Health Data Analytics with Microsoft Excel,The College of St. Scholastica,Independent,"13th Jul, 2020",1 Reviews,5.0
221,Data Analysis,Johns Hopkins University,Coursera,"28th Oct, 2013",20 Reviews,4.2
222,Computing for Data Analysis,Johns Hopkins University,Coursera,"6th Jan, 2014",27 Reviews,3.4
223,PH525x: Data Analysis for Genomics,Harvard University,edX,"7th Apr, 2014",2 Reviews,4.5
