,name,institute,provider,date,review,rating
1,R Programming,Johns Hopkins University,Coursera,"17th Aug, 2020",243 Reviews,2.7
2,The Data Scientist’s Toolbox,Johns Hopkins University,Coursera,"17th Aug, 2020",163 Reviews,3.3
3,The Analytics Edge,Massachusetts Institute of Technology,edX,"14th Sep, 2020",79 Reviews,4.6
4,Data Analyst,Kaggle,Udacity,Self Paced,64 Reviews,4.5
6,Getting and Cleaning Data,Johns Hopkins University,Coursera,"17th Aug, 2020",56 Reviews,3.5
7,Introduction to Data Science in Python,University of Michigan,Coursera,"24th Aug, 2020",44 Reviews,2.5
8,Python for Data Science,"University of California, San Diego",edX,"25th Aug, 2020",43 Reviews,4.4
9,Exploratory Data Analysis,Johns Hopkins University,Coursera,"17th Aug, 2020",38 Reviews,3.9
10,Introduction to Big Data,"University of California, San Diego",Coursera,"17th Aug, 2020",35 Reviews,2.7
11,Computational Social Science,"University of California, Davis",Coursera,Self Paced,40 Reviews,4.8
13,Statistical Inference,Johns Hopkins University,Coursera,"17th Aug, 2020",33 Reviews,2.8
14,Regression Models,Johns Hopkins University,Coursera,"17th Aug, 2020",33 Reviews,2.5
15,Reproducible Research,Johns Hopkins University,Coursera,"17th Aug, 2020",26 Reviews,3.9
16,Mastering Data Analysis in Excel,Duke University,Coursera,"17th Aug, 2020",26 Reviews,1.8
17,Hadoop Platform and Application Framework,"University of California, San Diego",Coursera,"17th Aug, 2020",25 Reviews,1.9
18,Probability - The Science of Uncertainty and Data,Massachusetts Institute of Technology,edX,"1st Sep, 2020",29 Reviews,4.9
19,Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,Coursera,"17th Aug, 2020",24 Reviews,4.2
20,Making Sense of Data in the Media,The University of Sheffield,FutureLearn,"7th Sep, 2020",28 Reviews,4.7
21,Introduction to Computational Thinking and Data Science,Massachusetts Institute of Technology,edX,"14th Oct, 2020",31 Reviews,4.5
22,Introduction to R for Data Science,Microsoft,edX,Self Paced,27 Reviews,4.1
23,Whole genome sequencing of bacterial genomes - tools and applications,Technical University of Denmark (DTU),Coursera,"17th Aug, 2020",21 Reviews,4.8
25,Pattern Discovery in Data Mining,University of Illinois at Urbana-Champaign,Coursera,"24th Aug, 2020",21 Reviews,2.1
26,Mining Massive Datasets,Stanford University,edX,Self Paced,25 Reviews,4.6
27,A Crash Course in Data Science,Johns Hopkins University,Coursera,"17th Aug, 2020",20 Reviews,3.4
28,Data Visualization,University of Illinois at Urbana-Champaign,Coursera,"24th Aug, 2020",20 Reviews,3.3
29,Probability and Statistics in Data Science using Python,"University of California, San Diego",edX,"25th Aug, 2020",20 Reviews,1.9
30,Spatial Data Science: The New Frontier in Analytics,Esri,Independent,"28th Oct, 2020",27 Reviews,4.9
31,Developing Data Products,Johns Hopkins University,Coursera,"17th Aug, 2020",18 Reviews,3.9
32,Finding Hidden Messages in DNA (Bioinformatics I),"University of California, San Diego",Coursera,"24th Aug, 2020",17 Reviews,4.5
33,Process Mining: Data science in Action,Eindhoven University of Technology,Coursera,"31st Aug, 2020",17 Reviews,4.4
34,Intro to Hadoop and MapReduce,Cloudera,Udacity,Self Paced,20 Reviews,3.9
35,Introduction to Python for Data Science,Microsoft,edX,Self Paced,20 Reviews,3.8
37,Statistics and R,Harvard University,edX,Self Paced,20 Reviews,3.5
38,Statistical Thinking for Data Science and Analytics,Columbia University,edX,Self Paced,19 Reviews,2.2
39,Data Analysis with R,Facebook,Udacity,Self Paced,18 Reviews,4.6
40,Big Data,"University of California, San Diego",Coursera,Self Paced,18 Reviews,1.5
41,Building a Data Science Team,Johns Hopkins University,Coursera,"17th Aug, 2020",12 Reviews,3.5
42,Python for Genomic Data Science,Johns Hopkins University,Coursera,"24th Aug, 2020",12 Reviews,2.4
43,Aprendizaje automático y ciencia de datos,Universitat Politècnica de València,edX,Self Paced,16 Reviews,4.4
44,Text Mining and Analytics,University of Illinois at Urbana-Champaign,Coursera,"17th Aug, 2020",10 Reviews,3.7
45,Data Science in Real Life,Johns Hopkins University,Coursera,"17th Aug, 2020",10 Reviews,3.0
