,name,institute,provider,date,review,rating
1,Programming for Everybody (Getting Started with Python),University of Michigan,Coursera,"24th Aug, 2020",20651 Reviews,4.9
2,Python Data Structures,University of Michigan,Coursera,"17th Aug, 2020",7935 Reviews,4.9
3,An Introduction to Interactive Programming in Python (Part 1),Rice University,Coursera,"17th Aug, 2020",3242 Reviews,4.9
4,Using Python to Access Web Data,University of Michigan,Coursera,"24th Aug, 2020",2887 Reviews,4.7
6,Using Databases with Python,University of Michigan,Coursera,"24th Aug, 2020",2311 Reviews,4.7
7,Python for Everybody,University of Michigan,Coursera,Self Paced,342 Reviews,4.9
8,Agile Leadership Principles and Practices,University System of Maryland,edX,Self Paced,254 Reviews,4.5
9,Introduction to Programming with MATLAB,Vanderbilt University,Coursera,"10th Aug, 2020",205 Reviews,4.8
10,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",151 Reviews,4.3
11,Computing in Python I: Fundamentals and Procedural Programming,Georgia Institute of Technology,edX,Self Paced,119 Reviews,4.8
13,"Agile Process, Project, and Program Controls",University System of Maryland,edX,Self Paced,119 Reviews,4.4
14,Learn to Program: The Fundamentals,University of Toronto,Coursera,"24th Aug, 2020",105 Reviews,4.8
15,ANIMATIONs,Banaras Hindu University,Swayam,"1st Aug, 2020",121 Reviews,4.4
16,Sprint Planning for Faster Agile Team Delivery,University System of Maryland,edX,Self Paced,76 Reviews,4.5
17,Agile Innovation and Problem Solving Skills,University System of Maryland,edX,Self Paced,62 Reviews,4.5
18,Ruby on Rails: An Introduction,Johns Hopkins University,Coursera,"24th Aug, 2020",56 Reviews,3.1
19,An Introduction to Interactive Programming in Python (Part 2),Rice University,Coursera,"17th Aug, 2020",55 Reviews,4.8
20,Computing in Python IV: Objects & Algorithms,Georgia Institute of Technology,edX,Self Paced,53 Reviews,4.9
21,Introduction to HTML5,University of Michigan,Coursera,"17th Aug, 2020",43 Reviews,4.3
22,Functional Program Design in Scala,École Polytechnique Fédérale de Lausanne,Coursera,"24th Aug, 2020",40 Reviews,4.5
23,Programming Mobile Applications for Android Handheld Systems: Part 1,"University of Maryland, College Park",Coursera,"7th Sep, 2020",38 Reviews,4.1
25,Python for Everybody - Exploring Information,-1,Independent,Self Paced,38 Reviews,4.9
26,Python: Aprender a programar,Universitat Politècnica de València,edX,Self Paced,37 Reviews,3.8
27,Computing in Python II: Control Structures,Georgia Institute of Technology,edX,Self Paced,36 Reviews,4.9
28,Intro to HTML and CSS,-1,Udacity,Self Paced,35 Reviews,3.9
29,Introduction to VBA/Excel Programming,Cal Poly Pomona,Open Education by Blackboard,Self Paced,33 Reviews,4.4
30,Object-Oriented Design,University of Alberta,Coursera,"17th Aug, 2020",26 Reviews,4.2
31,"C++ For C Programmers, Part A","University of California, Santa Cruz",Coursera,"24th Aug, 2020",26 Reviews,3.2
32,"Responsive Website Basics: Code with HTML, CSS, and JavaScript",University of London International Programmes,Coursera,"24th Aug, 2020",26 Reviews,4.0
33,Computing in Python III: Data Structures,Georgia Institute of Technology,edX,Self Paced,26 Reviews,4.8
34,"Programming Languages, Part A",University of Washington,Coursera,"14th Sep, 2020",25 Reviews,4.7
35,Android: Introducción a la Programación,Universitat Politècnica de València,edX,Self Paced,24 Reviews,4.1
37,Front End Web Developer,-1,Udacity,Self Paced,23 Reviews,4.6
38,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,Coursera,"24th Aug, 2020",17 Reviews,5.0
39,Introduction to video game development with Unity,Universitat Politècnica de València,edX,Self Paced,21 Reviews,4.6
40,Introducción al desarrollo de videojuegos con Unity,Universitat Politècnica de València,edX,Self Paced,21 Reviews,4.9
41,JavaScript Basics,-1,Udacity,Self Paced,20 Reviews,3.2
42,Object Oriented Programming in Java,"University of California, San Diego",Coursera,"17th Aug, 2020",15 Reviews,4.9
43,Java Programming: Solving Problems with Software,Duke University,Coursera,"17th Aug, 2020",15 Reviews,3.1
44,Agile Development Using Ruby on Rails - The Basics,"University of California, Berkeley",edX,Self Paced,19 Reviews,4.5
45,Introducción a la Ingeniería del Software,Universidad Autónoma de Madrid,edX,Self Paced,19 Reviews,4.6
46,Design Patterns,University of Alberta,Coursera,"17th Aug, 2020",14 Reviews,4.4
47,Introducción a la programación orientada a objetos en Java,Universidad de los Andes,Coursera,"7th Sep, 2020",18 Reviews,4.8
49,Introduction to CSS3,University of Michigan,Coursera,"17th Aug, 2020",13 Reviews,4.6
50,Responsive Web Design,University of London International Programmes,Coursera,"17th Aug, 2020",12 Reviews,3.5
51,Introduction to Game Development,Michigan State University,Coursera,"17th Aug, 2020",12 Reviews,4.5
52,Developing Android Apps,Google,Udacity,Self Paced,16 Reviews,3.3
53,Interactivity with JavaScript,University of Michigan,Coursera,"17th Aug, 2020",11 Reviews,4.3
54,Creative Programming for Digital Media & Mobile Apps,University of London International Programmes,Coursera,"24th Aug, 2020",11 Reviews,3.7
55,Introdução ao Controle Moderno,Instituto Tecnológico de Aeronáutica,Coursera,"31st Aug, 2020",11 Reviews,4.9
57,Programming Mobile Applications for Android Handheld Systems: Part 2,"University of Maryland, College Park",Coursera,"7th Sep, 2020",15 Reviews,4.4
58,Programming Basics,Indian Institute of Technology Bombay,edX,Self Paced,15 Reviews,2.3
59,"Programming Foundations with JavaScript, HTML and CSS",Duke University,Coursera,"17th Aug, 2020",10 Reviews,3.6
60,Cloud Computing Basics (Cloud 101),LearnQuest,Coursera,"31st Aug, 2020",10 Reviews,2.5
62,Learn to Program: Crafting Quality Code,University of Toronto,Coursera,"17th Aug, 2020",9 Reviews,4.1
63,Advanced Styling with Responsive Design,University of Michigan,Coursera,"17th Aug, 2020",8 Reviews,4.4
64,HTML5 Coding Essentials and Best Practices,World Wide Web Consortium (W3C),edX,Self Paced,12 Reviews,4.3
65,Full Stack Web Developer Nanodegree,-1,Udacity,Self Paced,12 Reviews,3.8
66,Android Developer,Google,Udacity,Self Paced,12 Reviews,4.6
67,Object-Oriented JavaScript,Hack Reactor,Udacity,Self Paced,11 Reviews,4.5
69,Introduction to Functional Programming,Delft University of Technology,edX,Self Paced,11 Reviews,4.2
70,Using Python for Research,Harvard University,edX,Self Paced,11 Reviews,3.7
71,Programming Languages,University of Virginia,Udacity,Self Paced,10 Reviews,3.4
72,Full Stack Foundations,-1,Udacity,Self Paced,10 Reviews,3.1
73,Java Programming Basics,-1,Udacity,Self Paced,10 Reviews,4.3
74,Introduction to Programming for the Visual Arts with p5.js,"University of California, Los Angeles",Kadenze,Self Paced,10 Reviews,4.8
75,Data Wrangling with MongoDB,MongoDB University,Udacity,Self Paced,9 Reviews,3.0
76,Responsive Web Design Fundamentals,Google,Udacity,Self Paced,9 Reviews,4.6
77,CS50's Web Programming with Python and JavaScript,Harvard University,edX,Self Paced,9 Reviews,4.6
78,Introduction to Bootstrap - A Tutorial,Microsoft,edX,Self Paced,9 Reviews,3.3
79,Diagramas UML estructurales para la Ingeniería del Software,Universitat Politècnica de València,edX,Self Paced,9 Reviews,4.7
81,Software Processes and Agile Practices,University of Alberta,Coursera,"7th Sep, 2020",8 Reviews,4.4
82,Introduction to Programming,-1,Udacity,Self Paced,8 Reviews,4.5
83,Initiation à la programmation (en C++),École Polytechnique Fédérale de Lausanne,Coursera,"17th Aug, 2020",3 Reviews,5.0
84,Interactive Computer Graphics,The University of Tokyo,Coursera,"17th Aug, 2020",4 Reviews,2.3
87,Introduction To Swift Programming,University of Toronto,Coursera,"17th Aug, 2020",7 Reviews,1.3
88,计算导论与C语言基础,Peking University,Coursera,"17th Aug, 2020",1 Reviews,4.0
89,Mastering the Software Engineering Interview,"University of California, San Diego",Coursera,"17th Aug, 2020",3 Reviews,3.7
93,World Design for Video Games,California Institute of the Arts,Coursera,"17th Aug, 2020",5 Reviews,4.4
94,iOS App Development Basics,University of Toronto,Coursera,"17th Aug, 2020",2 Reviews,4.0
95,Responsive Website Tutorial and Examples,University of London International Programmes,Coursera,"17th Aug, 2020",2 Reviews,5.0
96,Introduction to Meteor.js Development,University of London International Programmes,Coursera,"17th Aug, 2020",6 Reviews,4.3
97,Database Management Essentials,University of Colorado System,Coursera,"17th Aug, 2020",4 Reviews,3.8
99,"Java Programming: Arrays, Lists, and Structured Data",Duke University,Coursera,"17th Aug, 2020",6 Reviews,4.5
100,"Android App Components - Intents, Activities, and Broadcast Receivers",Vanderbilt University,Coursera,"17th Aug, 2020",2 Reviews,3.0
115,Version Control with Git,Atlassian,Coursera,"17th Aug, 2020",4 Reviews,4.5
118,Python Programming Essentials,Rice University,Coursera,"17th Aug, 2020",1 Reviews,5.0
121,"Android App Components - Services, Local IPC, and Content Providers",Vanderbilt University,Coursera,"17th Aug, 2020",2 Reviews,2.5
122,"C++ For C Programmers, Part B","University of California, Santa Cruz",Coursera,"17th Aug, 2020",1 Reviews,2.0
123,SQL for Data Science,"University of California, Davis",Coursera,"17th Aug, 2020",1 Reviews,1.0
133,Introduction to Web Development,"University of California, Davis",Coursera,"17th Aug, 2020",3 Reviews,4.0
135,Software Architecture,University of Alberta,Coursera,"17th Aug, 2020",4 Reviews,4.5
137,Service-Oriented Architecture,University of Alberta,Coursera,"17th Aug, 2020",2 Reviews,4.5
143,"Server-side Development with NodeJS, Express and MongoDB",The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",1 Reviews,5.0
144,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,Coursera,"17th Aug, 2020",2 Reviews,5.0
146,Web Design: Strategy and Information Architecture,California Institute of the Arts,Coursera,"17th Aug, 2020",2 Reviews,5.0
157,Multiplatform Mobile App Development with React Native,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",1 Reviews,4.0
159,Pixel Art for Video Games,Michigan State University,Coursera,"17th Aug, 2020",1 Reviews,4.0
164,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,Coursera,"17th Aug, 2020",1 Reviews,4.0
176,API Development on Google Cloud's Apigee API Platform,Google Cloud,Coursera,"17th Aug, 2020",1 Reviews,1.0
181,3D Art and Audio Pipeline,Unity,Coursera,"17th Aug, 2020",1 Reviews,5.0
189,Asset Creation and Management,Unity,Coursera,"17th Aug, 2020",1 Reviews,4.0
195,Front-End Web Development with React,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",1 Reviews,5.0
226,Exploratory Data Analysis with MATLAB,MathWorks,Coursera,"17th Aug, 2020",1 Reviews,5.0
266,Introduction to Software Testing,University of Minnesota,Coursera,"17th Aug, 2020",1 Reviews,5.0
290,Java for Android,Vanderbilt University,Coursera,"18th Aug, 2020",1 Reviews,1.0
291,Managing Security in Google Cloud Platform,Google Cloud,Coursera,"18th Aug, 2020",1 Reviews,4.0
