,name,institute,provider,date,review,rating
1,Programming for Everybody (Getting Started with Python),University of Michigan,Coursera,"24th Aug, 2020",20651 Reviews,4.9
2,Python Data Structures,University of Michigan,Coursera,"17th Aug, 2020",7935 Reviews,4.9
3,An Introduction to Interactive Programming in Python (Part 1),Rice University,Coursera,"17th Aug, 2020",3242 Reviews,4.9
4,Using Python to Access Web Data,University of Michigan,Coursera,"24th Aug, 2020",2887 Reviews,4.7
6,Using Databases with Python,University of Michigan,Coursera,"24th Aug, 2020",2311 Reviews,4.7
7,Python for Everybody,University of Michigan,Coursera,Self Paced,342 Reviews,4.9
8,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",151 Reviews,4.3
9,Computing in Python I: Fundamentals and Procedural Programming,Georgia Institute of Technology,edX,Self Paced,119 Reviews,4.8
10,Learn to Program: The Fundamentals,University of Toronto,Coursera,"24th Aug, 2020",105 Reviews,4.8
11,An Introduction to Interactive Programming in Python (Part 2),Rice University,Coursera,"17th Aug, 2020",55 Reviews,4.8
13,Computing in Python IV: Objects & Algorithms,Georgia Institute of Technology,edX,Self Paced,53 Reviews,4.9
14,Introduction to Data Science in Python,University of Michigan,Coursera,"24th Aug, 2020",44 Reviews,2.5
15,Machine Learning Foundations: A Case Study Approach,University of Washington,Coursera,"17th Aug, 2020",39 Reviews,3.9
16,Python for Everybody - Exploring Information,-1,Independent,Self Paced,38 Reviews,4.9
17,Python: Aprender a programar,Universitat Politècnica de València,edX,Self Paced,37 Reviews,3.8
18,Computing in Python II: Control Structures,Georgia Institute of Technology,edX,Self Paced,36 Reviews,4.9
19,Principles of Computing (Part 1),Rice University,Coursera,"17th Aug, 2020",31 Reviews,4.6
20,Hadoop Platform and Application Framework,"University of California, San Diego",Coursera,"17th Aug, 2020",25 Reviews,1.9
21,Computing in Python III: Data Structures,Georgia Institute of Technology,edX,Self Paced,26 Reviews,4.8
22,Machine Learning: Regression,University of Washington,Coursera,"17th Aug, 2020",20 Reviews,4.6
23,Artificial Intelligence for Robotics,Stanford University,Udacity,Self Paced,23 Reviews,4.8
25,Algorithms for DNA Sequencing,Johns Hopkins University,Coursera,"24th Aug, 2020",17 Reviews,4.5
26,Principles of Computing (Part 2),Rice University,Coursera,"17th Aug, 2020",16 Reviews,4.4
27,Algorithmic Thinking (Part 1),Rice University,Coursera,"17th Aug, 2020",15 Reviews,4.1
28,Python for Genomic Data Science,Johns Hopkins University,Coursera,"24th Aug, 2020",12 Reviews,2.4
29,Data Structures,"University of California, San Diego",Coursera,"17th Aug, 2020",11 Reviews,4.2
30,Machine Learning for Trading,Georgia Institute of Technology,Udacity,Self Paced,15 Reviews,3.1
31,Design of Computer Programs,Stanford University,Udacity,Self Paced,14 Reviews,4.1
32,Algorithmic Thinking (Part 2),Rice University,Coursera,"17th Aug, 2020",9 Reviews,4.4
33,Biology Meets Programming: Bioinformatics for Beginners,"University of California, San Diego",Coursera,"24th Aug, 2020",9 Reviews,3.4
34,Intro to Data Science,-1,Udacity,Self Paced,13 Reviews,4.2
35,Intro to Python for Data Science,-1,Datacamp,Self Paced,13 Reviews,4.3
37,Machine Learning: Classification,University of Washington,Coursera,"17th Aug, 2020",8 Reviews,4.8
38,Programming Languages,University of Virginia,Udacity,Self Paced,10 Reviews,3.4
39,Full Stack Foundations,-1,Udacity,Self Paced,10 Reviews,3.1
40,CS50's Web Programming with Python and JavaScript,Harvard University,edX,Self Paced,9 Reviews,4.6
41,Machine Learning: Clustering & Retrieval,University of Washington,Coursera,"17th Aug, 2020",4 Reviews,4.8
42,Математика и Python для анализа данных,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",4 Reviews,4.0
43,Global Warming II: Create Your Own Models in Python,The University of Chicago,Coursera,"17th Aug, 2020",1 Reviews,2.0
45,Python Programming Essentials,Rice University,Coursera,"17th Aug, 2020",1 Reviews,5.0
50,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,Coursera,"17th Aug, 2020",7 Reviews,2.9
51,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,Coursera,"17th Aug, 2020",2 Reviews,5.0
94,Regression Modeling in Practice,Wesleyan University,Coursera,"21st Aug, 2020",3 Reviews,4.0
95,Interfacing with the Raspberry Pi,"University of California, Irvine",Coursera,"24th Aug, 2020",2 Reviews,2.5
96,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,"University of California, Irvine",Coursera,"24th Aug, 2020",5 Reviews,3.2
97,Applied Text Mining in Python,University of Michigan,Coursera,"24th Aug, 2020",2 Reviews,2.0
98,Applied Machine Learning in Python,University of Michigan,Coursera,"24th Aug, 2020",6 Reviews,4.0
102,Machine Learning with Python,IBM,Coursera,"24th Aug, 2020",2 Reviews,5.0
106,Basic Data Processing and Visualization,"University of California, San Diego",Coursera,"24th Aug, 2020",1 Reviews,3.0
107,Data Visualization with Python,IBM,Coursera,"24th Aug, 2020",1 Reviews,4.0
132,Data Processing Using Python,Nanjing University,Coursera,"31st Aug, 2020",1 Reviews,3.0
158,Python Basics for Data Science,IBM,edX,"1st Sep, 2020",2 Reviews,2.5
159,Machine Learning with Python: A Practical Introduction,IBM,edX,"1st Sep, 2020",1 Reviews,5.0
162,Visualizing Data with Python,IBM,edX,"1st Sep, 2020",1 Reviews,1.0
163,Analyzing Data with Python,IBM,edX,"1st Sep, 2020",3 Reviews,3.7
165,Statistical Mechanics: Algorithms and Computations,École normale supérieure,Coursera,"7th Sep, 2020",3 Reviews,5.0
166,用Python玩转数据 Data Processing Using Python,Nanjing University,Coursera,"7th Sep, 2020",1 Reviews,5.0
170,Applied Social Network Analysis in Python,University of Michigan,Coursera,"7th Sep, 2020",3 Reviews,4.3
194,Applied Cryptography,University of Virginia,Udacity,Self Paced,5 Reviews,4.2
195,Intro to Algorithms,-1,Udacity,Self Paced,6 Reviews,2.7
196,Software Testing,University of Utah,Udacity,Self Paced,7 Reviews,4.0
197,Software Debugging,Saarland University,Udacity,Self Paced,5 Reviews,4.6
198,"CS 8802, Artificial Intelligence for Robotics: Programming a Robotic Car",Stanford University,Udacity,Self Paced,2 Reviews,5.0
199,Authentication & Authorization: OAuth,-1,Udacity,Self Paced,3 Reviews,4.0
200,Configuring Linux Web Servers,-1,Udacity,Self Paced,3 Reviews,4.3
201,Designing RESTful APIs,-1,Udacity,Self Paced,1 Reviews,2.0
202,Intro to Data Analysis,-1,Udacity,Self Paced,5 Reviews,4.0
203,Learn to Program Using Python,University of Texas Arlington,edX,Self Paced,2 Reviews,4.5
206,Introduction to Python Programming,-1,Udacity,Self Paced,1 Reviews,5.0
208,Practical Numerical Methods with Python,George Washington University,Independent,Self Paced,4 Reviews,4.0
209,Computing Form and Shape: Python Programming with the Rhinoscript Library,Rhode Island School of Design,Kadenze,Self Paced,1 Reviews,5.0
210,Introduction to Programming Using Python,University of Texas Arlington,edX,Self Paced,1 Reviews,5.0
225,Introduction to Python: Absolute Beginner,Microsoft,edX,Self Paced,4 Reviews,3.3
227,Principles of Machine Learning: Python Edition,Microsoft,edX,Self Paced,1 Reviews,2.0
228,CS50's Introduction to Artificial Intelligence with Python,Harvard University,edX,Self Paced,1 Reviews,5.0
238,Introduction to Python Programming,Georgia Institute of Technology,edX,Self Paced,1 Reviews,5.0
239,Intro to Machine Learning with PyTorch,Kaggle,Udacity,Self Paced,1 Reviews,1.0
242,AI Programming with Python,-1,Udacity,Self Paced,3 Reviews,1.7
247,Python 3 Programming,University of Michigan,Coursera,Self Paced,1 Reviews,3.0
259,Audio Signal Processing for Music Applications,Stanford University,Coursera,"21st Sep, 2020",1 Reviews,5.0
261,Object-oriented Programming in Python: Create Your Own Adventure Game,Raspberry Pi Foundation,FutureLearn,"5th Oct, 2020",1 Reviews,4.0
262,Programming for Everybody (Getting Started with Python),University of Michigan,FutureLearn,"19th Oct, 2020",1 Reviews,5.0
264,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,Coursera,"14th Aug, 2020",3 Reviews,2.7
266,Python 3 : des fondamentaux aux concepts avancés du langage,Université Côte d'Azur,France Université Numerique,"17th Sep, 2018",2 Reviews,5.0
267,Fondamentaux pour le Big Data,Institut Mines-Télécom,France Université Numerique,"3rd Dec, 2018",1 Reviews,4.0
269,The Joy of Computing using Python,"Indian Institute of Technology, Ropar",Swayam,"19th Jul, 2020",2 Reviews,5.0
271,Python Programming: A Concise Introduction,Wesleyan University,Coursera,"3rd Aug, 2020",5 Reviews,3.8
273,Intro to Computer Science,University of Virginia,Udacity,"16th Apr, 2012",71 Reviews,4.5
274,Web Development,-1,Udacity,"16th Apr, 2012",19 Reviews,4.4
275,Programming Foundations with Python,-1,Udacity,"23rd Apr, 2014",13 Reviews,3.5
278,Developing Scalable Apps in Python,Google,Udacity,"30th Apr, 2015",1 Reviews,4.0
