,name,institute,provider,date,review,rating
0,AD,Columbia Engineering Executive Education,-1,Self Paced,None,5.0
1,Programming for Everybody (Getting Started with Python),University of Michigan,Coursera,"3rd Aug, 2020",20405 Reviews,4.9
2,Python Data Structures,University of Michigan,Coursera,"17th Aug, 2020",7838 Reviews,4.9
3,An Introduction to Interactive Programming in Python (Part 1),Rice University,Coursera,"17th Aug, 2020",3240 Reviews,4.9
4,Using Python to Access Web Data,University of Michigan,Coursera,"3rd Aug, 2020",2859 Reviews,4.7
5,Get an email when new courses are available,-1,-1,Self Paced,None,-1
6,Using Databases with Python,University of Michigan,Coursera,"3rd Aug, 2020",2293 Reviews,4.7
7,Python for Everybody,University of Michigan,Coursera,Self Paced,339 Reviews,4.9
8,Agile Leadership Principles and Practices,University System of Maryland,edX,Self Paced,252 Reviews,4.5
9,Introduction to Programming with MATLAB,Vanderbilt University,Coursera,"10th Aug, 2020",205 Reviews,4.8
10,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",148 Reviews,4.3
11,Computing in Python I: Fundamentals and Procedural Programming,Georgia Institute of Technology,edX,Self Paced,117 Reviews,4.8
12,AD,UC Berkeley Executive Education,-1,Self Paced,None,5.0
13,"Agile Process, Project, and Program Controls",University System of Maryland,edX,Self Paced,117 Reviews,4.4
14,Learn to Program: The Fundamentals,University of Toronto,Coursera,"24th Aug, 2020",105 Reviews,4.8
15,ANIMATIONs,Banaras Hindu University,Swayam,"1st Aug, 2020",121 Reviews,4.4
16,Sprint Planning for Faster Agile Team Delivery,University System of Maryland,edX,Self Paced,75 Reviews,4.5
17,Agile Innovation and Problem Solving Skills,University System of Maryland,edX,Self Paced,61 Reviews,4.5
18,An Introduction to Interactive Programming in Python (Part 2),Rice University,Coursera,"17th Aug, 2020",55 Reviews,4.8
19,Computing in Python IV: Objects & Algorithms,Georgia Institute of Technology,edX,Self Paced,53 Reviews,4.9
20,Ruby on Rails: An Introduction,Johns Hopkins University,Coursera,"10th Aug, 2020",56 Reviews,3.1
21,Python for Everybody - Exploring Information,-1,Independent,Self Paced,37 Reviews,4.9
22,Computing in Python II: Control Structures,Georgia Institute of Technology,edX,Self Paced,36 Reviews,4.9
23,Python: Aprender a programar,Universitat Politècnica de València,edX,Self Paced,36 Reviews,3.8
24,AD,Columbia Business School Executive Education,-1,Self Paced,None,5.0
25,Intro to HTML and CSS,-1,Udacity,Self Paced,35 Reviews,3.9
26,Introduction to VBA/Excel Programming,Cal Poly Pomona,Open Education by Blackboard,Self Paced,33 Reviews,4.4
27,Object-Oriented Design,University of Alberta,Coursera,"17th Aug, 2020",26 Reviews,4.2
28,"C++ For C Programmers, Part A","University of California, Santa Cruz",Coursera,"24th Aug, 2020",26 Reviews,3.2
29,Introduction to HTML5,University of Michigan,Coursera,"10th Aug, 2020",43 Reviews,4.3
30,Computing in Python III: Data Structures,Georgia Institute of Technology,edX,Self Paced,26 Reviews,4.8
31,Functional Program Design in Scala,École Polytechnique Fédérale de Lausanne,Coursera,"10th Aug, 2020",40 Reviews,4.5
32,Android: Introducción a la Programación,Universitat Politècnica de València,edX,Self Paced,24 Reviews,4.1
33,Programming Mobile Applications for Android Handheld Systems: Part 1,"University of Maryland, College Park",Coursera,"10th Aug, 2020",38 Reviews,4.1
34,"Programming Languages, Part A",University of Washington,Coursera,"14th Sep, 2020",25 Reviews,4.7
35,Front End Web Developer,-1,Udacity,Self Paced,23 Reviews,4.6
36,AD,EMERITUS,-1,Self Paced,None,5.0
37,Introduction to video game development with Unity,Universitat Politècnica de València,edX,Self Paced,21 Reviews,4.6
38,Introducción al desarrollo de videojuegos con Unity,Universitat Politècnica de València,edX,Self Paced,21 Reviews,4.9
39,JavaScript Basics,-1,Udacity,Self Paced,20 Reviews,3.2
40,Java Programming: Solving Problems with Software,Duke University,Coursera,"17th Aug, 2020",15 Reviews,3.1
41,Agile Development Using Ruby on Rails - The Basics,"University of California, Berkeley",edX,Self Paced,19 Reviews,4.5
42,Design Patterns,University of Alberta,Coursera,"17th Aug, 2020",14 Reviews,4.4
43,Responsive Web Design,University of London International Programmes,Coursera,"17th Aug, 2020",12 Reviews,3.5
44,Introduction to Game Development,Michigan State University,Coursera,"17th Aug, 2020",12 Reviews,4.5
45,Developing Android Apps,Google,Udacity,Self Paced,16 Reviews,3.3
46,Introducción a la Ingeniería del Software,Universidad Autónoma de Madrid,edX,Self Paced,16 Reviews,4.6
47,Creative Programming for Digital Media & Mobile Apps,University of London International Programmes,Coursera,"24th Aug, 2020",11 Reviews,3.7
48,AD,Santa Fe Institute,-1,Self Paced,None,5.0
49,Programming Basics,Indian Institute of Technology Bombay,edX,Self Paced,15 Reviews,2.3
50,"Programming Foundations with JavaScript, HTML and CSS",Duke University,Coursera,"17th Aug, 2020",10 Reviews,3.6
51,Learn to Program: Crafting Quality Code,University of Toronto,Coursera,"17th Aug, 2020",9 Reviews,4.1
52,HTML5 Coding Essentials and Best Practices,World Wide Web Consortium (W3C),edX,Self Paced,12 Reviews,4.3
53,Introdução ao Controle Moderno,Instituto Tecnológico de Aeronáutica,Coursera,"31st Aug, 2020",11 Reviews,4.9
54,Full Stack Web Developer Nanodegree,-1,Udacity,Self Paced,12 Reviews,3.8
