,name,institute,provider,date,review,rating
1,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",151 Reviews,4.3
2,Estadística Aplicada a los Negocios,Galileo University,edX,Self Paced,109 Reviews,4.3
3,Análisis estadístico con Excel,Galileo University,edX,Self Paced,81 Reviews,4.6
4,Intro to Statistics,Stanford University,Udacity,Self Paced,36 Reviews,3.5
6,Probability - The Science of Uncertainty and Data,Massachusetts Institute of Technology,edX,"1st Sep, 2020",29 Reviews,4.9
7,Statistical Learning,Stanford University,edX,Self Paced,28 Reviews,4.1
8,Bayesian Statistics,Duke University,Coursera,"17th Aug, 2020",12 Reviews,2.7
9,Intro to Descriptive Statistics,San Jose State University,Udacity,Self Paced,12 Reviews,4.0
10,Basic Statistics,University of Amsterdam,Coursera,"7th Sep, 2020",11 Reviews,3.8
11,Introduction to Statistics: Descriptive Statistics,"University of California, Berkeley",edX,Self Paced,10 Reviews,4.8
13,Intro to Inferential Statistics,San Jose State University,Udacity,Self Paced,8 Reviews,4.5
14,Aléatoire : une introduction aux probabilités - Partie 1,École Polytechnique,Coursera,"17th Aug, 2020",2 Reviews,4.5
17,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",Coursera,"17th Aug, 2020",1 Reviews,5.0
18,Improving your statistical inferences,Eindhoven University of Technology,Coursera,"17th Aug, 2020",1 Reviews,5.0
23,Mathematics for Machine Learning: PCA,Imperial College London,Coursera,"17th Aug, 2020",3 Reviews,2.0
25,Probability and Statistics: To p or not to p?,University of London International Programmes,Coursera,"17th Aug, 2020",3 Reviews,4.7
51,Math behind Moneyball,University of Houston System,Coursera,"24th Aug, 2020",3 Reviews,3.3
52,Estadística aplicada a los negocios,Universidad Austral,Coursera,"24th Aug, 2020",1 Reviews,5.0
53,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,Coursera,"24th Aug, 2020",1 Reviews,4.0
54,Linear Regression and Modeling,Duke University,Coursera,"24th Aug, 2020",3 Reviews,3.0
59,Introduction to Enumerative Combinatorics,Higher School of Economics,Coursera,"24th Aug, 2020",2 Reviews,5.0
63,Practical SAS Programming and Certification Review,SAS,Coursera,"24th Aug, 2020",1 Reviews,3.0
82,Теория вероятностей для начинающих,Moscow Institute of Physics and Technology,Coursera,"7th Sep, 2020",1 Reviews,5.0
85,Network Dynamics of Social Behavior,University of Pennsylvania,Coursera,"7th Sep, 2020",1 Reviews,4.0
87,Estadística y probabilidad,Universidad Nacional Autónoma de México,Coursera,"7th Sep, 2020",1 Reviews,5.0
